Time,Reading
2023-10-05 19:56:55,-16.7
2023-10-05 19:57:26,-16.8
2023-10-05 19:57:56,-16.9
2023-10-05 19:58:26,-16.9
2023-10-05 19:58:56,-17.0
2023-10-05 19:59:26,-17.1
2023-10-05 19:59:56,-17.1
2023-10-05 20:00:26,-17.2
2023-10-05 20:00:56,-17.3
2023-10-05 20:01:26,-17.3
2023-10-05 20:01:56,-17.4
2023-10-05 20:02:26,-17.4
2023-10-05 20:02:56,-17.5
2023-10-05 20:03:25,-17.6
2023-10-05 20:03:56,-17.6
2023-10-05 20:04:26,-17.7
2023-10-05 20:04:56,-17.7
2023-10-05 20:05:26,-17.8
2023-10-05 20:05:56,-17.8
2023-10-05 20:06:26,-17.9
2023-10-05 20:06:56,-18.1
2023-10-05 20:07:26,-18.1
2023-10-05 20:07:56,-18.1
2023-10-05 20:08:26,-18.1
2023-10-05 20:08:56,-18.2
2023-10-05 20:09:26,-18.2
2023-10-05 20:09:55,-18.3
2023-10-05 20:10:26,-18.3
2023-10-05 20:10:56,-18.4
2023-10-05 20:11:26,-18.4
2023-10-05 20:11:56,-18.4
2023-10-05 20:12:26,-18.5
2023-10-05 20:12:56,-18.6
2023-10-05 20:13:26,-18.6
2023-10-05 20:13:56,-18.6
2023-10-05 20:14:26,-18.7
2023-10-05 20:14:56,-18.7
2023-10-05 20:15:26,-18.8
2023-10-05 20:15:56,-18.8
2023-10-05 20:16:25,-18.9
2023-10-05 20:16:56,-18.9
2023-10-05 20:17:26,-18.9
2023-10-05 20:17:56,-19.0
2023-10-05 20:18:26,-19.0
2023-10-05 20:18:56,-19.1
2023-10-05 20:19:26,-19.1
2023-10-05 20:19:56,-19.1
2023-10-05 20:20:26,-19.2
2023-10-05 20:20:56,-19.2
2023-10-05 20:21:26,-19.3
2023-10-05 20:21:56,-19.3
2023-10-05 20:22:26,-19.3
2023-10-05 20:22:55,-19.4
2023-10-05 20:23:26,-19.4
2023-10-05 20:23:56,-19.5
2023-10-05 20:24:26,-19.5
2023-10-05 20:24:56,-19.5
2023-10-05 20:25:26,-19.6
2023-10-05 20:25:56,-19.6
2023-10-05 20:26:26,-19.6
2023-10-05 20:26:56,-19.7
2023-10-05 20:27:26,-19.7
2023-10-05 20:27:56,-19.7
2023-10-05 20:28:26,-19.7
2023-10-05 20:28:56,-19.8
2023-10-05 20:29:25,-19.8
2023-10-05 20:29:56,-19.8
2023-10-05 20:30:26,-19.9
2023-10-05 20:30:56,-19.9
2023-10-05 20:31:26,-19.9
2023-10-05 20:31:56,-19.9
2023-10-05 20:32:26,-20.0
2023-10-05 20:32:56,-20.0
2023-10-05 20:33:26,-20.0
2023-10-05 20:33:56,-20.1
2023-10-05 20:34:26,-20.1
2023-10-05 20:34:56,-20.1
2023-10-05 20:35:26,-20.2
2023-10-05 20:35:55,-20.2
2023-10-05 20:36:26,-20.2
2023-10-05 20:36:56,-20.3
2023-10-05 20:37:26,-20.3
2023-10-05 20:37:56,-20.3
2023-10-05 20:38:26,-20.3
2023-10-05 20:38:56,-20.4
2023-10-05 20:39:26,-20.4
2023-10-05 20:39:56,-20.4
2023-10-05 20:40:26,-20.4
2023-10-05 20:40:56,-20.5
2023-10-05 20:41:26,-20.5
2023-10-05 20:41:56,-20.5
2023-10-05 20:42:25,-20.5
2023-10-05 20:42:56,-20.5
2023-10-05 20:43:26,-20.6
2023-10-05 20:43:56,-20.6
2023-10-05 20:44:26,-20.6
2023-10-05 20:44:56,-20.7
2023-10-05 20:45:26,-20.7
2023-10-05 20:45:56,-20.7
2023-10-05 20:46:26,-20.7
2023-10-05 20:46:56,-20.7
2023-10-05 20:47:26,-20.8
2023-10-05 20:47:56,-20.8
2023-10-05 20:48:26,-20.8
2023-10-05 20:48:56,-20.8
2023-10-05 20:49:26,-20.9
2023-10-05 20:49:56,-20.9
2023-10-05 20:50:26,-20.9
2023-10-05 20:50:56,-20.9
2023-10-05 20:51:26,-20.9
2023-10-05 20:51:56,-21.0
2023-10-05 20:52:26,-21.0
2023-10-05 20:52:56,-21.0
2023-10-05 20:53:26,-21.0
2023-10-05 20:53:56,-21.2
2023-10-05 20:54:26,-21.1
2023-10-05 20:54:56,-21.1
2023-10-05 20:55:26,-21.1
2023-10-05 20:55:56,-21.2
2023-10-05 20:56:26,-21.2
2023-10-05 20:56:56,-21.2
2023-10-05 20:57:26,-21.2
2023-10-05 20:57:56,-21.2
2023-10-05 20:58:26,-21.2
2023-10-05 20:58:56,-21.3
2023-10-05 20:59:26,-21.3
2023-10-05 20:59:56,-21.3
2023-10-05 21:00:26,-21.3
2023-10-05 21:00:56,-21.3
2023-10-05 21:01:26,-21.3
2023-10-05 21:01:56,-21.4
2023-10-05 21:02:26,-21.4
2023-10-05 21:02:56,-21.4
2023-10-05 21:03:26,-21.4
2023-10-05 21:03:56,-21.4
2023-10-05 21:04:26,-21.4
2023-10-05 21:04:55,-21.5
2023-10-05 21:05:26,-21.5
2023-10-05 21:05:56,-21.5
2023-10-05 21:06:26,-21.5
2023-10-05 21:06:56,-21.5
2023-10-05 21:07:26,-21.5
2023-10-05 21:07:56,-21.5
2023-10-05 21:08:26,-21.5
2023-10-05 21:08:56,-21.6
2023-10-05 21:09:26,-21.6
2023-10-05 21:09:56,-21.6
2023-10-05 21:10:26,-21.6
2023-10-05 21:10:56,-21.6
2023-10-05 21:11:25,-21.7
2023-10-05 21:11:56,-21.7
2023-10-05 21:12:26,-21.7
2023-10-05 21:12:56,-21.7
2023-10-05 21:13:26,-21.7
2023-10-05 21:13:56,-21.7
2023-10-05 21:14:26,-21.7
2023-10-05 21:14:56,-21.8
2023-10-05 21:15:26,-21.8
2023-10-05 21:15:56,-21.8
2023-10-05 21:16:26,-21.8
2023-10-05 21:16:56,-21.8
2023-10-05 21:17:26,-21.8
2023-10-05 21:17:55,-21.8
2023-10-05 21:18:26,-21.8
2023-10-05 21:18:56,-21.7
2023-10-05 21:19:26,-21.7
2023-10-05 21:19:56,-21.6
2023-10-05 21:20:26,-21.5
2023-10-05 21:20:56,-21.5
2023-10-05 21:21:26,-21.4
2023-10-05 21:21:56,-21.3
2023-10-05 21:22:26,-21.3
2023-10-05 21:22:56,-21.2
2023-10-05 21:23:26,-21.1
2023-10-05 21:23:56,-21.0
2023-10-05 21:24:25,-20.9
2023-10-05 21:24:56,-20.8
2023-10-05 21:25:26,-20.8
2023-10-05 21:25:56,-20.6
2023-10-05 21:26:26,-20.6
2023-10-05 21:26:56,-20.5
2023-10-05 21:27:26,-20.4
2023-10-05 21:27:56,-20.3
2023-10-05 21:28:26,-20.2
2023-10-05 21:28:56,-20.1
2023-10-05 21:29:26,-20.0
2023-10-05 21:29:56,-19.9
2023-10-05 21:30:26,-19.8
2023-10-05 21:30:55,-19.7
2023-10-05 21:31:26,-19.7
2023-10-05 21:31:56,-20.0
2023-10-05 21:32:26,-19.4
2023-10-05 21:32:56,-19.3
2023-10-05 21:33:26,-19.2
2023-10-05 21:33:56,-19.1
2023-10-05 21:34:26,-19.0
2023-10-05 21:34:56,-18.9
2023-10-05 21:35:26,-18.8
2023-10-05 21:35:56,-18.7
2023-10-05 21:36:26,-18.6
2023-10-05 21:36:56,-18.4
2023-10-05 21:37:25,-18.5
2023-10-05 21:37:56,-18.2
2023-10-05 21:38:26,-18.4
2023-10-05 21:38:56,-18.0
2023-10-05 21:39:26,-17.9
2023-10-05 21:39:56,-18.0
2023-10-05 21:40:26,-17.8
2023-10-05 21:40:56,-17.6
2023-10-05 21:41:26,-17.5
2023-10-05 21:41:56,-17.4
2023-10-05 21:42:26,-17.3
2023-10-05 21:42:56,-17.2
2023-10-05 21:43:26,-17.2
2023-10-05 21:43:55,-17.1
2023-10-05 21:44:26,-17.0
2023-10-05 21:44:56,-16.9
2023-10-05 21:45:26,-16.8
2023-10-05 21:45:56,-16.7
2023-10-05 21:46:26,-16.6
2023-10-05 21:46:56,-16.5
2023-10-05 21:47:26,-16.4
2023-10-05 21:47:56,-16.3
2023-10-05 21:48:26,-16.3
2023-10-05 21:48:56,-16.2
2023-10-05 21:49:26,-16.1
2023-10-05 21:49:56,-16.0
2023-10-05 21:50:25,-15.9
2023-10-05 21:50:56,-15.8
2023-10-05 21:51:26,-15.8
2023-10-05 21:51:56,-15.7
2023-10-05 21:52:26,-15.6
2023-10-05 21:52:56,-15.5
2023-10-05 21:53:26,-15.5
2023-10-05 21:53:56,-15.4
2023-10-05 21:54:26,-15.3
2023-10-05 21:54:56,-15.2
2023-10-05 21:55:26,-15.1
2023-10-05 21:55:56,-15.0
2023-10-05 21:56:26,-14.9
2023-10-05 21:56:56,-15.1
2023-10-05 21:57:26,-14.9
2023-10-05 21:57:56,-14.7
2023-10-05 21:58:26,-14.6
2023-10-05 21:58:56,-14.5
2023-10-05 21:59:26,-14.5
2023-10-05 21:59:56,-14.4
2023-10-05 22:00:26,-14.3
2023-10-05 22:00:56,-14.2
2023-10-05 22:01:26,-14.2
